,Rel_FECD,Rel_BM25,Rel_DTFIPF,Coh_FECD,Coh_BM25,Coh_DTFIPF
0,0.1,0.0,0.041666666666666664,1.0,0.0,0.3333333333333333
1,0.2169811320754717,0.12,0.08018867924528301,0.3584905660377358,0.03333333333333333,0.12264150943396226
2,0.875,0.03571428571428571,0.0,0.5,0.10714285714285714,0.041666666666666664
3,0.25,0.0,0.38461538461538464,0.5833333333333334,0.0,0.23076923076923078
4,0.0,0.05555555555555555,0.8571428571428571,1.0,0.0,0.5714285714285714
5,0.7,0.18181818181818182,0.5384615384615384,0.7,0.0,0.15384615384615385
6,1.0,0.8636363636363636,0.47058823529411764,0.0,0.045454545454545456,0.08823529411764706
7,1.0,0.8181818181818182,0.8333333333333334,0.45,0.36363636363636365,0.7777777777777778
8,0.9444444444444444,0.7,0.5833333333333334,0.3888888888888889,0.2,0.3333333333333333
9,0.625,0.3333333333333333,0.0,0.3125,0.2777777777777778,0.0
10,1.0,0.65,0.7857142857142857,0.59375,0.375,0.42857142857142855
11,1.0,0.0,0.0,0.5,0.03125,0.0
12,0.9375,0.0,0.5,0.375,0.2692307692307692,0.275
13,0.9,0.21052631578947367,0.3333333333333333,0.25,0.13157894736842105,0.041666666666666664
14,0.42857142857142855,0.25,0.2857142857142857,0.35714285714285715,0.10714285714285714,0.19047619047619047
15,0.75,0.5277777777777778,0.717391304347826,0.6071428571428571,0.1388888888888889,0.34782608695652173
16,0.5816326530612245,0.19318181818181818,0.01694915254237288,0.6428571428571429,0.2840909090909091,0.03389830508474576
17,0.9090909090909091,0.7307692307692307,0.2894736842105263,0.3181818181818182,0.46153846153846156,0.2894736842105263
18,0.7222222222222222,0.22727272727272727,0.6785714285714286,0.2777777777777778,0.0,0.21428571428571427
19,0.6923076923076923,0.016129032258064516,0.21153846153846154,0.5384615384615384,0.016129032258064516,0.1346153846153846
20,0.4444444444444444,0.3888888888888889,0.06666666666666667,0.19444444444444445,0.2222222222222222,0.03333333333333333
21,0.5833333333333334,0.5,0.15789473684210525,0.16666666666666666,0.13333333333333333,0.34210526315789475
22,0.8333333333333334,0.8181818181818182,0.8888888888888888,0.7222222222222222,0.3181818181818182,0.4444444444444444
23,1.0,0.5,0.75,0.8333333333333334,0.16666666666666666,0.4375
24,1.0,1.0,0.75,0.5,0.5833333333333334,0.625
25,0.0,0.0,0.0,0.6666666666666666,0.625,0.0
26,1.0,0.9285714285714286,1.0,0.9166666666666666,0.14285714285714285,0.42857142857142855
27,1.0,1.0,0.875,1.0,0.4,0.4375
28,0.6,0.2,0.07692307692307693,0.6,0.3,0.0
29,1.0,0.25,0.7142857142857143,1.0,0.125,0.35714285714285715
30,0.16666666666666666,0.0,0.0,0.5,0.6,0.0
31,1.0,1.0,0.42857142857142855,1.0,1.0,0.21428571428571427
32,0.336734693877551,0.2196969696969697,0.005434782608695652,0.7142857142857143,0.3333333333333333,0.2608695652173913
33,0.047619047619047616,0.19047619047619047,0.2602739726027397,0.6547619047619048,0.29365079365079366,0.3493150684931507
34,0.18032786885245902,0.07547169811320754,0.5263157894736842,0.21311475409836064,0.07547169811320754,0.4473684210526316
35,0.7777777777777778,0.0,0.7777777777777778,0.7222222222222222,0.2,0.7777777777777778
36,0.5416666666666666,0.2727272727272727,0.20149253731343283,0.3333333333333333,0.11363636363636363,0.12686567164179105
